00,10,9,8,7,6,5,4,3,2,1
4970,1,0,1,1,1,1,0,0,0,0
13635,2,2,12,11,15,1,11,1,0,2
07,3,2,2,2,2,2,3,2,1,0
03656,6,5,0,0,0,5,0,4,1,0
04989,4,5,14,4,4,5,8,4,3,4
04998,3,3,0,0,0,1,0,1,1,0
01015,1,1,0,0,2,2,0,1,1,0
03676,6,3,0,0,0,3,0,3,5,0
11025,1,1,6,2,9,1,2,2,0,0
02396,0,2,1,12,0,1,1,1,1,3
01063,0,0,1,1,1,0,2,0,0,1
01060,22,0,19,1,1,24,11,0,0,0
01056,0,0,5,3,2,0,2,0,0,2
11070,2,2,0,0,0,2,0,2,2,0
011114,0,2,1,0,1,0,0,1,0,1
011116,4,2,0,0,0,4,0,2,3,0
013745,2,2,0,0,0,2,0,6,5,0
012428,1,0,1,1,1,0,11,0,0,4
012377,1,1,0,0,0,1,0,1,1,0
012388,2,1,2,1,0,1,1,0,0,1
011029,1,0,1,1,1,0,1,0,0,0
011004,4,0,1,9,2,14,1,8,1,0
013669,1,1,0,0,0,1,0,1,1,0
011007,1,1,1,6,1,0,0,0,1,1
011006,0,0,4,3,5,0,7,0,0,4
03709,13,12,7,6,2,11,3,11,10,6
011089,0,0,1,3,3,0,3,0,0,2
03751,1,0,1,1,1,0,1,2,0,1
22443,13,0,42,0,38,8,16,6,6,0
01111,0,0,5,3,4,0,3,0,0,1
03774,1,0,5,5,5,0,0,1,0,0
03794,4,2,2,2,3,1,2,0,0,3
01131,1,0,22,8,7,0,1,1,0,1
01143,6,6,0,0,0,5,0,3,2,0
01140,0,0,6,2,1,0,2,0,0,2
03796,6,4,0,0,0,3,0,2,1,0
01154,1,1,0,0,0,1,0,1,1,0
01171,1,0,1,1,3,0,0,0,0,2
01197,6,3,26,9,20,5,9,1,5,2
013871,3,3,4,2,0,4,0,0,1,7
013822,2,2,4,2,2,2,0,2,0,0
011185,0,0,1,1,1,0,0,1,1,0
021,2,0,23,8,11,2,1,0,0,0
031,7,7,0,0,0,17,0,4,7,0
056,2,0,1,2,1,0,1,3,0,1
011155,1,2,5,0,0,1,0,1,0,0
062,1,1,1,0,1,0,0,0,0,2
070,2,2,0,0,0,1,0,1,1,0
012459,2,0,2,1,1,0,0,0,0,2
082,6,3,6,4,6,4,0,0,0,0
013795,19,6,1,13,194,9,41,3,4,24
096,1,2,0,0,0,1,0,1,1,0
097,8,2,0,0,0,2,0,2,1,0
03812,1,6,1,1,1,0,1,0,0,1
03823,0,0,5,12,1,0,1,0,0,1
02500,14,19,0,0,0,13,0,1,22,0
03852,4,9,11,11,15,4,9,4,1,7
01200,0,0,1,1,8,0,1,0,0,1
03862,0,0,7,6,2,0,5,0,0,8
01217,26,18,34,33,111,9,2,7,6,0
03893,2,2,6,6,5,2,6,2,2,3
01285,1,1,7,6,1,0,0,0,0,0
01289,1,0,1,1,1,0,1,0,4,1
010011,0,3,0,18,1,0,0,0,2,2
011341,2,2,0,0,0,2,0,1,1,0
010012,3,1,0,0,0,3,0,3,3,3
